Tem,Ratio,Time,Ultrasonic time,NO
200.0,0.1,8.0,20.0,17.59477124
200.0,0.1,8.0,10.0,5.937068966
200.0,0.02,8.0,10.0,6.092241379
180.0,0.033,4.0,8.0,18.42844828
220.0,0.033,6.0,16.0,17.40522876
180.0,0.033,6.0,4.0,19.44568966
160.0,0.1,4.0,8.0,16.6731
200.0,0.05,8.0,10.0,3.73362069
200.0,0.025,6.0,4.0,22.45396552
160.0,0.1,4.0,30.0,29.45224
180.0,0.1,6.0,4.0,22.59224138
200.0,0.033,8.0,10.0,4.18362069
160.0,0.1,4.0,1.0,14.47448
