Tem,Ratio,Time,Ultrasonic time,NO
220.0,0.02,6.0,4.0,14.12396552
220.0,0.05,6.0,4.0,11.30172414
220.0,0.025,8.0,10.0,9.149137931
200.0,0.033,4.0,8.0,7.038793103
200.0,0.1,4.0,8.0,13.36982759
180.0,0.02,6.0,4.0,17.28189655
