Tem,Ratio,Time,Ultrasonic time,NO
220,0.033,8,10,7.612931034
200,0.05,6,4,12.50862069
200,0.02,6,4,13.06896552
180,0.02,6,20,7.60130719
160,0.1,8,14,6.235294118
200,0.05,6,14,5.562091503
180,0.02,4,16,5.503267974
220,0.02,8,26,5.836601307
200,0.1,6,30,5.37254902
160,0.025,4,20,5.379084967
160,0.033,6,30,5.869281046
200,0.1,6,4,11.89672414
220,0.02,4,8,5.238793103
200,0.05,4,8,5.471551724
160,0.1,4,15,4.19568
160,0.1,4,14,5.77155
160,0.1,4,2,6.03414
180,0.05,4,26,6.241830065
160,0.1,4,16,3.01637
200,0.025,8,10,7.147413793
220,0.025,4,14,7.424836601
220,0.025,8,30,7.496732026
220,0.1,4,8,5.300862069
160,0.1,4,26,7.607843137
220,0.025,6,4,7.79362069
200,0.1,8,16,7.980392157
180,0.1,8,10,8.125
180,0.02,8,10,8.648706897
160,0.1,4,17,8.36465
220,0.1,8,10,8.218103448
180,0.05,8,10,8.745689655
160,0.1,4,13,8.83707
180,0.1,4,8,8.900862069
180,0.025,4,8,11.10431034
200,0.02,4,8,5.952586207
180,0.033,4,14,8.967320261
200,0.025,6,26,9.104575163
