Cr,Si,Mn,C,Ni,Mo,Nb,W,V,P,Cu,Temperature,Pressure,ExposureTime,OxygenConcentration,weightgain
8.895,0.235,0.401,0.102,0.121,0.889,0.079,0.0,0.202,0.019,0.085,400.0,25.0,40.0,8.0,34.0
8.895,0.235,0.401,0.102,0.121,0.889,0.079,0.0,0.202,0.019,0.085,400.0,25.0,580.0,8.0,43.0
8.895,0.235,0.401,0.102,0.121,0.889,0.079,0.0,0.202,0.019,0.085,400.0,30.0,255.0,8.0,33.0
8.895,0.235,0.401,0.102,0.121,0.889,0.079,0.0,0.202,0.019,0.085,400.0,30.0,500.0,8.0,42.0
8.895,0.235,0.401,0.102,0.121,0.889,0.079,0.0,0.202,0.019,0.085,400.0,30.0,760.0,8.0,47.0
8.895,0.235,0.401,0.102,0.121,0.889,0.079,0.0,0.202,0.019,0.085,500.0,25.0,500.0,8.0,190.0
8.895,0.235,0.401,0.102,0.121,0.889,0.079,0.0,0.202,0.019,0.085,500.0,25.0,500.0,8.0,203.0
8.895,0.235,0.401,0.102,0.121,0.889,0.079,0.0,0.202,0.019,0.085,500.0,25.0,750.0,8.0,241.0
8.895,0.235,0.401,0.102,0.121,0.889,0.079,0.0,0.202,0.019,0.085,500.0,30.0,500.0,8.0,194.0
8.895,0.235,0.401,0.102,0.121,0.889,0.079,0.0,0.202,0.019,0.085,500.0,30.0,500.0,8.0,198.0
8.895,0.235,0.401,0.102,0.121,0.889,0.079,0.0,0.202,0.019,0.085,500.0,30.0,740.0,8.0,196.0
8.96,0.18,0.5,0.12,0.13,0.36,0.068,1.75,0.18,0.013,0.0,400.0,25.0,40.0,8.0,50.0
8.96,0.18,0.5,0.12,0.13,0.36,0.068,1.75,0.18,0.013,0.0,400.0,25.0,100.0,8.0,57.01
8.96,0.18,0.5,0.12,0.13,0.36,0.068,1.75,0.18,0.013,0.0,400.0,25.0,200.0,8.0,60.0
8.96,0.18,0.5,0.12,0.13,0.36,0.068,1.75,0.18,0.013,0.0,400.0,25.0,300.0,8.0,61.0
8.96,0.18,0.5,0.12,0.13,0.36,0.068,1.75,0.18,0.013,0.0,400.0,25.0,400.0,8.0,64.0
8.96,0.18,0.5,0.12,0.13,0.36,0.068,1.75,0.18,0.013,0.0,400.0,25.0,500.0,8.0,69.0
8.96,0.18,0.5,0.12,0.13,0.36,0.068,1.75,0.18,0.013,0.0,450.0,25.0,30.0,8.0,70.0
8.96,0.18,0.5,0.12,0.13,0.36,0.068,1.75,0.18,0.013,0.0,450.0,25.0,100.0,8.0,120.1
8.96,0.18,0.5,0.12,0.13,0.36,0.068,1.75,0.18,0.013,0.0,450.0,25.0,200.0,8.0,145.0
8.96,0.18,0.5,0.12,0.13,0.36,0.068,1.75,0.18,0.013,0.0,450.0,25.0,300.0,8.0,161.0
8.96,0.18,0.5,0.12,0.13,0.36,0.068,1.75,0.18,0.013,0.0,450.0,25.0,400.0,8.0,182.02
8.96,0.18,0.5,0.12,0.13,0.36,0.068,1.75,0.18,0.013,0.0,450.0,25.0,500.0,8.0,210.1
8.96,0.18,0.5,0.12,0.13,0.36,0.068,1.75,0.18,0.013,0.0,500.0,25.0,50.0,8.0,180.0
8.96,0.18,0.5,0.12,0.13,0.36,0.068,1.75,0.18,0.013,0.0,500.0,25.0,100.0,8.0,175.0
8.96,0.18,0.5,0.12,0.13,0.36,0.068,1.75,0.18,0.013,0.0,500.0,25.0,150.0,8.0,200.0
8.96,0.18,0.5,0.12,0.13,0.36,0.068,1.75,0.18,0.013,0.0,500.0,25.0,200.0,8.0,210.2
8.96,0.18,0.5,0.12,0.13,0.36,0.068,1.75,0.18,0.013,0.0,500.0,25.0,270.0,8.0,230.0
8.96,0.18,0.5,0.12,0.13,0.36,0.068,1.75,0.18,0.013,0.0,500.0,25.0,380.0,8.0,250.0
